INCIDENTNEIGHBORHOOD,OFFENSES
Hazelwood,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 1543 Driving While Operating Privilege is Suspended or Revoked."
Central Business District,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Oakwood,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Highland Park,3922 Theft by Deception.
Garfield,029 Missing Juvenile
Sheraden,8106 Shots Fired
Spring Hill-City View,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
Shadyside,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Brookline,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304 Criminal Mischief."
South Oakland,3921 Theft by Unlawful Taking or Disposition.
Greenfield,9999 9999 - (Misc. Incident): 
East Allegheny,9501 Bench Warrant
Beltzhoover,9498 302 (Mental)
Brighton Heights,9999 9999 - (Misc. Incident): Family dispute
Bloomfield,1543 Driving While Operating Privilege is Suspended or Revoked. / 3742.1 Accident Involv. Death/Inj. While not Licensed / 3742 Accidents Involving Death or Personal Injury
Point Breeze North,9497 Aided Case
Upper Hill,3701 Robbery.
Beechview,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Central Business District,9497 Aided Case
Hazelwood,9998 Overdose Other
Carrick,9496 Dead on Arrival (DOA)
Knoxville,13(a)(31) Marijuana: Possession Small Amount / 3308 One-Way Roadways and Rotary Traffic Islands. / 1574 Permitting Unauthorized Person to Drive. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility.
East Liberty,9489 Found Property
Hays,3701 Robbery. / 2702 Aggravated Assault. / 2707.1 Discharge of a Firearm into Occupied Structure / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 7512 Criminal Use of Communication / 6110.1 Possesion of Firearm by Minor / 901 Criminal Attempt
Bloomfield,9496 Dead on Arrival (DOA)
South Side Flats,3701 Robbery. / 2702 Aggravated Assault.
Sheraden,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant
California-Kirkbride,2709(a)(3) Harassment No Legitimate Purpose
Brighton Heights,9123 Miscellaneous Fire Other Investigation to Continue
Morningside,3934 Theft from Vehicle
Bloomfield,3934 Theft from Vehicle
Mount Washington,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Mount Washington,3304 Criminal Mischief.
Mount Washington,3304 Criminal Mischief.
Lincoln Place,9999 9999 - (Misc. Incident): 
Brighton Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Central Business District,3701 Robbery. / 901 Criminal Attempt
Fairywood,9999 9999 - (Misc. Incident): 
South Side Slopes,3802(a)(1) DUI - General Impairment
Central Oakland,9999 9999 - (Misc. Incident): Forced Entry / 9998 Overdose Other
West End,9124 Drug Investigation
Bon Air,3304 Criminal Mischief.
Allentown,2709 Harassment (Non-Specific)
Mount Washington,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Mount Washington,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Point Breeze North,9497 Aided Case
Spring Hill-City View,3701 Robbery. / 3502 Burglary. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2709(a) Harassment. / 2701 Simple Assault. / 2706 Terroristic Threats. / 907 Possessing Instruments of Crime.
Carrick,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Brookline,13(a)(32) Paraphernalia - Use or Possession / 3503 Criminal Trespass / 9093 Indirect Criminal Contempt
Perry South,3502 Burglary.
Point Breeze,3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3503 Criminal Trespass
Overbrook,3921(a) Theft by Unlawful Taking or Disposition - Movable item
North Oakland,3743 Accidents Involving Damage to Attended Veh. or Property
Squirrel Hill South,3743 Accidents Involving Damage to Attended Veh. or Property
Polish Hill,9999 9999 - (Misc. Incident): Roommate Dispute
Greenfield,4106 Access Device Fraud
Mount Washington,2709 Harassment (Non-Specific)
Squirrel Hill North,9132 Noise Complaint - Citation
Carrick,9999 9999 - (Misc. Incident): 
Greenfield,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Bon Air,2701 Simple Assault.
Larimer,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2705 Recklessly Endangering Another Person. / 3743 Accidents Involving Damage to Attended Veh. or Property"
Marshall-Shadeland,9496 Dead on Arrival (DOA)
California-Kirkbride,9124 Drug Investigation
Shadyside,9496 Dead on Arrival (DOA)
Marshall-Shadeland,3934 Theft from Vehicle / 5506 Loitering and Prowling at Night
Carrick,9492 Dog Bite
Stanton Heights,9999 9999 - (Misc. Incident): Put Deer Down
Crawford-Roberts,2709(a) Harassment.
Shadyside,2709(a)(3) Harassment No Legitimate Purpose
Chateau,9124 Drug Investigation
Beechview,9998 Overdose Other
Lower Lawrenceville,3934 Theft from Vehicle
Homewood North,029 Missing Juvenile
Larimer,3304 Criminal Mischief.
Middle Hill,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Garfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Point Breeze North,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person.
Terrace Village,2701 Simple Assault.
Lower Lawrenceville,9496 Dead on Arrival (DOA)
Brookline,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5505 Public Drunkenness
Fineview,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Sheraden,9993 PFA Service with Weapons Supplement
Homewood South,9993 PFA Service with Weapons Supplement
Marshall-Shadeland,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Garfield,2705 Recklessly Endangering Another Person. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3744 Duty to Give Information and Render Aid
Friendship,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Hazelwood,2709(a)(4) Harassment Communicates Prohibited Acts
East Allegheny,3304 Criminal Mischief.
Strip District,9992 Governor's Order Violation
Highland Park,9124 Drug Investigation
Carrick,2706 Terroristic Threats. / 5503 Disorderly Conduct.
Duquesne Heights,9489 Found Property
Chartiers City,8106 Shots Fired
Allegheny Center,9497 Aided Case
Knoxville,9123 Miscellaneous Fire Other Investigation to Continue
Mount Washington,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner
Knoxville,9999 9999 - (Misc. Incident): Neighbor Dispute
Homewood South,8106 Shots Fired / 607.03 Discharging Firearm or Airgun
Beechview,9123 Miscellaneous Fire Other Investigation to Continue
Manchester,9993 PFA Service with Weapons Supplement
East Liberty,9999 9999 - (Misc. Incident):  Missing Axon Body Camera
Brookline,3929 Retail Theft.
Garfield,9999 9999 - (Misc. Incident): 
Allegheny Center,2709 Harassment (Non-Specific) / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
South Shore,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Middle Hill,3934 Theft from Vehicle / 3304 Criminal Mischief.
Point Breeze,3921 Theft by Unlawful Taking or Disposition.
Westwood,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Bon Air,3743 Accidents Involving Damage to Attended Veh. or Property
Central Business District,3304 Criminal Mischief.
South Side Slopes,9999 9999 - (Misc. Incident): 
Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Bedford Dwellings,9999 9999 - (Misc. Incident): 
Duquesne Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Crawford-Roberts,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3503(a) Criminal Trespass
Hazelwood,3934 Theft from Vehicle / 3304 Criminal Mischief.
Northview Heights,029 Missing Juvenile
Brighton Heights,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Carrick,2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.
Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Carrick,2709(a)(3) Harassment No Legitimate Purpose
Squirrel Hill South,9999 9999 - (Misc. Incident): Neighbor Dispute
Overbrook,9489 Found Property
Highland Park,9497 Aided Case
South Side Slopes,9998 Overdose Other
Point Breeze North,029 Missing Juvenile
Central Business District,9999 9999 - (Misc. Incident): 
North Oakland,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Bloomfield,2709 Harassment (Non-Specific)
Bon Air,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3746 Immediate Notice of Accident to Police Department / 1785 Proof of Financial Responsibility Following Accident. / 3544 Pedestrians Walking Along or on Highway. / 3736 Reckless Driving / 531.07 (b) Illegally abandons or stalls vehicle
Crafton Heights,2701 Simple Assault.
Garfield,9496 Dead on Arrival (DOA)
Brookline,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc."
Bon Air,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Bluff,3701 Robbery. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession
Homewood South,4304(a)(1) Endangering Welfare of Children. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older
,3127 Indecent Exposure. / 9497 Aided Case
East Allegheny,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant
Homewood South,3701 Robbery.
Crafton Heights,2701 Simple Assault. / 13(a)(31) Marijuana: Possession Small Amount / 9093 Indirect Criminal Contempt
Beechview,9999 9999 - (Misc. Incident): 
Middle Hill,3743 Accidents Involving Damage to Attended Veh. or Property
Strip District,9994 PFA Service
Knoxville,3934 Theft from Vehicle
Brookline,3926.C1 THEFT OF SERVICES
Brighton Heights,3934 Theft from Vehicle
Point Breeze North,9504 Lost Property
Arlington Heights,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud"
Hazelwood,3934 Theft from Vehicle / 3304 Criminal Mischief.
Homewood West,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Carrick,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Perry South,9492 Dog Bite
Perry South,3934 Theft from Vehicle
Knoxville,3934 Theft from Vehicle
East Liberty,3304 Criminal Mischief.
Glen Hazel,9497 Aided Case
Point Breeze,3934 Theft from Vehicle
Sheraden,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
Carrick,"3921 Theft by Unlawful Taking or Disposition. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304 Criminal Mischief."
Central Business District,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
Summer Hill,3934 Theft from Vehicle
Perry North,3934 Theft from Vehicle / 4106 Access Device Fraud / 3304 Criminal Mischief.
Squirrel Hill South,2709(a) Harassment.
Squirrel Hill South,9999 9999 - (Misc. Incident): 
Lincoln-Lemington-Belmar,9012 Non-Violent Domestic
Knoxville,2706 Terroristic Threats. / 13(a)(32) Paraphernalia - Use or Possession / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
South Side Slopes,9496 Dead on Arrival (DOA)
Central Business District,2709(a)(4) Harassment Communicates Prohibited Acts / 2709(b) Stalking
South Side Flats,3304 Criminal Mischief.
Squirrel Hill South,2709(a)(3) Harassment No Legitimate Purpose
Highland Park,3934 Theft from Vehicle
South Oakland,9489 Found Property
Central Business District,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Perry North,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Central Business District,9497 Aided Case
Central Oakland,9504 Lost Property
East Carnegie,9498 302 (Mental)
South Side Flats,9501 Bench Warrant / 3334 Turning Movements and Required Signals. / 3331 Required Position and Method of Turning.
Shadyside,3743 Accidents Involving Damage to Attended Veh. or Property / 1301 Registration and Certificate of Title Required. / 3736 Reckless Driving / 1786 Required Financial Responsibility. / 3323 Stop Signs and Yield Signs.
Bon Air,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
East Allegheny,3304 Criminal Mischief. / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure
Perry North,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Allegheny,9999 9999 - (Misc. Incident): 
Central North Side,3929 Retail Theft.
Lower Lawrenceville,3921(a) Theft by Unlawful Taking or Disposition - Movable item
California-Kirkbride,9124 Drug Investigation
Crafton Heights,9999 9999 - (Misc. Incident): Landlord Tenant dispute 
Larimer,3502 Burglary.
Upper Hill,3934 Theft from Vehicle
Carrick,3921 Theft by Unlawful Taking or Disposition.
Middle Hill,3502 Burglary.
East Liberty,3922 Theft by Deception.
Strip District,3743 Accidents Involving Damage to Attended Veh. or Property
North Oakland,3921 Theft by Unlawful Taking or Disposition.
Westwood,3701 Robbery. / 3701 Robbery. / 3304 Criminal Mischief.
Marshall-Shadeland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Terrace Village,607.03 Discharging Firearm or Airgun / 8106 Shots Fired
Arlington,9492 Dog Bite
Northview Heights,9489 Found Property
North Oakland,3503 Criminal Trespass
Brookline,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Marshall-Shadeland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Spring Garden,3929 Retail Theft.
South Side Slopes,9496 Dead on Arrival (DOA)
Carrick,3743 Accidents Involving Damage to Attended Veh. or Property / 3736 Reckless Driving / 1785 Proof of Financial Responsibility Following Accident.
Homewood South,2701 Simple Assault.
Manchester,2701 Simple Assault.
Perry South,2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.
Allegheny Center,9998 Overdose Other
West End,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Marshall-Shadeland,9998 Overdose Other
Beechview,3743 Accidents Involving Damage to Attended Veh. or Property
Homewood North,2701(a)(3) Simple Assault - Attempts by Physical Menace 
South Shore,9489 Found Property
Shadyside,5505 Public Drunkenness / 3736 Reckless Driving / 3802(a)(1) DUI - General Impairment
Bluff,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1786 Required Financial Responsibility. / 1511 Carrying and Exhibiting Driver's License on Demand.
Lincoln-Lemington-Belmar,4304(a)(1) Endangering Welfare of Children. / 3364 Minimum Speed Regulation. / 3714 Careless Driving / 1511 Carrying and Exhibiting Driver's License on Demand. / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 4581 Restraint Systems. / 3802(a)(1) DUI - General Impairment / 1543 Driving While Operating Privilege is Suspended or Revoked.
Homewood North,9994 PFA Service
Central North Side,3921 Theft by Unlawful Taking or Disposition.
Point Breeze,3929 Retail Theft.
Squirrel Hill South,3923 Theft by Extortion.
East Liberty,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Point Breeze,3921 Theft by Unlawful Taking or Disposition.
Elliott,9498 302 (Mental)
Northview Heights,9999 9999 - (Misc. Incident): 
Glen Hazel,9497 Aided Case
Central Business District,3929 Retail Theft.
Carrick,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Squirrel Hill North,4120 Identity Theft / 4106 Access Device Fraud
Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Liberty,9496 Dead on Arrival (DOA)
Brookline,9492 Dog Bite
Central Business District,3921 Theft by Unlawful Taking or Disposition.
Polish Hill,9999 9999 - (Misc. Incident): 
Perry North,9999 9999 - (Misc. Incident): Notification from Dover Delaware
Marshall-Shadeland,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Brighton Heights,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Homewood South,9997 Overdose Death
Terrace Village,9994 PFA Service
South Side Slopes,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Central North Side,9999 9999 - (Misc. Incident): COVID-19 POSSIBLE EXPOSURE
Knoxville,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person.
Homewood South,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
East Hills,3701 Robbery. / 2702 Aggravated Assault.
Allegheny Center,029 Missing Juvenile
Allentown,9998 Overdose Other
Mount Washington,"5507 Obstructing Highways and Passages. / 602.04(b)(1)(a) Panhandling-Hindrance to traffic: Intentionally block, obstruct, or interfere with Orderly flow of vehicles or pedestrians"
East Liberty,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 607.07 Carrying Fascimiles of Firearms Prohibited / 627.02(b)(i) Possessing a small amount of marijuana
Allentown,9489 Found Property
Squirrel Hill South,9489 Found Property
Brighton Heights,9489 Found Property
Glen Hazel,3921 Theft by Unlawful Taking or Disposition.
California-Kirkbride,9124 Drug Investigation
Crawford-Roberts,9124 Drug Investigation
Hazelwood,3701 Robbery.
Crafton Heights,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Greenfield,9123 Miscellaneous Fire Other Investigation to Continue
Bluff,4915 Failure to Comply with Megans Law
Terrace Village,9498 302 (Mental)
Point Breeze North,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Highland Park,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Point Breeze North,3929 Retail Theft.
Crawford-Roberts,9498 302 (Mental)
South Side Flats,3701 Robbery. / 2706 Terroristic Threats.
East Liberty,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 5505 Public Drunkenness / 9998 Overdose Other
Fineview,9123 Miscellaneous Fire Other Investigation to Continue
Fineview,9123 Miscellaneous Fire Other Investigation to Continue
Beechview,9999 9999 - (Misc. Incident): Custody Dispute
Shadyside,3304 Criminal Mischief.
Perry South,9498 302 (Mental)
Highland Park,9497 Aided Case
Garfield,5104 Resisting Arrest or Other Law Enforcement. / 5506 Loitering and Prowling at Night
Hazelwood,3922 Theft by Deception.
Mount Washington,3304 Criminal Mischief.
East Liberty,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Perry North,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Brighton Heights,3921 Theft by Unlawful Taking or Disposition.
Squirrel Hill North,9489 Found Property
South Side Flats,5505 Public Drunkenness
Hazelwood,2701(a)(3) Simple Assault - Attempts by Physical Menace 
Allentown,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Troy Hill,13(a)(31) Marijuana: Possession Small Amount / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs.
Fineview,3304 Criminal Mischief. / 3301 Arson 
Homewood South,2701 Simple Assault.
Garfield,2709 Harassment (Non-Specific)
Bloomfield,3929 Retail Theft. / 903 Criminal Conspiracy.
Mount Washington,9498 302 (Mental)
Homewood North,3701 Robbery.
Sheraden,9999 9999 - (Misc. Incident): Left and did not return key
Crafton Heights,9498 302 (Mental)
Larimer,3921 Theft by Unlawful Taking or Disposition.
Spring Hill-City View,3934 Theft from Vehicle
East Hills,029 Missing Juvenile
Perry South,9123 Miscellaneous Fire Other Investigation to Continue
Terrace Village,9999 9999 - (Misc. Incident): Property Dispute
Fineview,2709(a)(3) Harassment No Legitimate Purpose
Chartiers City,3928 Unauthorized Use of Automobile and Other Vehicles.
Overbrook,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Brighton Heights,3304 Criminal Mischief.
Crawford-Roberts,9496 Dead on Arrival (DOA)
Central Business District,3503(a) Criminal Trespass
Bluff,13(a)(32) Paraphernalia - Use or Possession / 5505 Public Drunkenness / 9501 Bench Warrant
Central Business District,9497 Aided Case
Middle Hill,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Brookline,2701 Simple Assault.
Brookline,2701 Simple Assault.
Homewood North,4303 General Lighting Requirements. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3802(a)(1) DUI - General Impairment / 3714 Careless Driving
Central Business District,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Central Business District,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Brookline,2701 Simple Assault.
East Hills,9129 Miscellaneous Investigation
Central Business District,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Beltzhoover,9497 Aided Case
Brookline,9998 Overdose Other
East Allegheny,3921(a) Theft by Unlawful Taking or Disposition - Movable item
East Allegheny,3304 Criminal Mischief.
Larimer,9497 Aided Case
Carrick,9497 Aided Case
East Hills,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Central Oakland,9123 Miscellaneous Fire Other Investigation to Continue
Upper Lawrenceville,9501 Bench Warrant
Perry South,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Allentown,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 903 Criminal Conspiracy.
Brookline,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Polish Hill,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Middle Hill,2702 Aggravated Assault.
East Allegheny,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 9501 Bench Warrant"
Homewood West,3929 Retail Theft. / 3304 Criminal Mischief.
Chateau,9124 Drug Investigation
Garfield,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 1543 Driving While Operating Privilege is Suspended or Revoked."
Highland Park,3921 Theft by Unlawful Taking or Disposition.
Mount Washington,9999 9999 - (Misc. Incident): 
Shadyside,3921 Theft by Unlawful Taking or Disposition.
Squirrel Hill South,3928 Unauthorized Use of Automobile and Other Vehicles.
Highland Park,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 9999 9999 - (Misc. Incident): Auto Theft
Squirrel Hill North,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Perry North,3921 Theft by Unlawful Taking or Disposition. / 3304(a)(2) CRIMINAL MISCHIEF- Tamper With Property (So As To Endanger Person or Property)
Point Breeze,3934 Theft from Vehicle
Greenfield,4106 Access Device Fraud
Highland Park,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Spring Hill-City View,9496 Dead on Arrival (DOA)
Sheraden,9123 Miscellaneous Fire Other Investigation to Continue
Morningside,029 Missing Juvenile / 9999 9999 - (Misc. Incident): 
California-Kirkbride,9497 Aided Case / 9998 Overdose Other
Summer Hill,029 Missing Juvenile
Terrace Village,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Sheraden,2701 Simple Assault.
Homewood North,9498 302 (Mental)
Elliott,8106 Shots Fired
Sheraden,8106 Shots Fired
Allentown,9124 Drug Investigation
Highland Park,2709(a) Harassment.
Highland Park,9496 Dead on Arrival (DOA)
Allentown,9489 Found Property
Duquesne Heights,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
Beechview,2701 Simple Assault.
East Liberty,3503(b.1) Criminal Trespass - Simple Trespasser
Banksville,2701 Simple Assault.
Squirrel Hill South,4106 Access Device Fraud
Elliott,3701 Robbery. / 2701 Simple Assault. / 4914 False Identification to Law Enforcement Authorities / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Brighton Heights,473.02 (b) Deposit or Dump Trash
Hazelwood,3934 Theft from Vehicle
Highland Park,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
Fineview,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30)* Delivery of Controlled Substance
Bloomfield,3743 Accidents Involving Damage to Attended Veh. or Property
Crafton Heights,3921 Theft by Unlawful Taking or Disposition.
Terrace Village,3928 Unauthorized Use of Automobile and Other Vehicles.
East Liberty,9497 Aided Case
Homewood North,3743 Accidents Involving Damage to Attended Veh. or Property
Marshall-Shadeland,9997 Overdose Death
Allentown,"3921 Theft by Unlawful Taking or Disposition. / 1333 Lost, Stolen, Damaged or Illegible Registration Plate."
Brighton Heights,3921 Theft by Unlawful Taking or Disposition.
Hazelwood,3934 Theft from Vehicle / 3304 Criminal Mischief.
East Liberty,3502 Burglary.
Duquesne Heights,3503 Criminal Trespass / 903 Criminal Conspiracy.
Carrick,9124 Drug Investigation
Central Business District,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
East Allegheny,5507 Obstructing Highways and Passages.
Central Business District,601.16 Public Urination And Defecation
Banksville,9998 Overdose Other
Bedford Dwellings,9994 PFA Service
Central Business District,2701 Simple Assault.
Mount Washington,"3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means"
Chateau,9124 Drug Investigation
East Hills,3304 Criminal Mischief.
Larimer,4101 Forgery. / 4120 Identity Theft
Middle Hill,2709(a) Harassment.
Beechview,9999 9999 - (Misc. Incident): 
Marshall-Shadeland,9490 Missing Persons (18 and Over)
Marshall-Shadeland,029 Missing Juvenile
Mount Oliver,9129 Miscellaneous Investigation
Hazelwood,3304 Criminal Mischief.
Elliott,9497 Aided Case
Summer Hill,3502 Burglary. / 2701 Simple Assault. / 2709(a) Harassment. / 2902 Unlawful Restraint.
Knoxville,3304 Criminal Mischief.
South Side Slopes,9123 Miscellaneous Fire Other Investigation to Continue
East Allegheny,9501 Bench Warrant
Point Breeze,3502 Burglary.
Mount Washington,9999 9999 - (Misc. Incident): 
Beechview,3934 Theft from Vehicle
Hazelwood,5505 Public Drunkenness / 7513 Restriction on Alcoholic Beverages - Open Container
Mount Washington,9123 Miscellaneous Fire Other Investigation to Continue
Upper Lawrenceville,3502 Burglary. / 901 Criminal Attempt
California-Kirkbride,9124 Drug Investigation
Arlington Heights,2702 Aggravated Assault.
Greenfield,3304 Criminal Mischief.
Manchester,2709 Harassment (Non-Specific)
Perry North,029 Missing Juvenile
Morningside,9496 Dead on Arrival (DOA)
Marshall-Shadeland,3934 Theft from Vehicle
Northview Heights,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount
East Hills,2701 Simple Assault. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2705 Recklessly Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children. / 2901 Kidnapping. / 2901 Kidnapping.
Hazelwood,9999 9999 - (Misc. Incident): 
Friendship,3502 Burglary.
Garfield,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Central Business District,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Carrick,9999 9999 - (Misc. Incident): 
Shadyside,3929 Retail Theft.
Hazelwood,517.8 Home Improvement Fraud
Lincoln-Lemington-Belmar,3304 Criminal Mischief.
Bluff,4120 Identity Theft
Hazelwood,9123 Miscellaneous Fire Other Investigation to Continue
Homewood North,"6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(32) Paraphernalia - Use or Possession / 4914 False Identification to Law Enforcement Authorities / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
